"","nct_id","phase","enrollment","number_of_arms","has_dmc","Drug_Class","allocation","intervention_model","primary_purpose","masking","subject_masked","caregiver_masked","investigator_masked","outcomes_assessor_masked","Experimental","Control","Other","n_countries","lead_agency","n_collaborator","us_international","intervention_type","Disease_Group","duration","Therapy","Pivotal","SPA","Orphan","Breakthrough","RMAT","QIDP","Fast_Track","n_primary_endpoint","n_secondary_endpoint"
"2200","NCT02400463","Phase 2",1.79175946922805,"Less than or equal to three","True","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Other",0,"U.S.A. only","Drug","Oncology",1432,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2201","NCT02400281","Phase 2",3.3322045101752,"Less than or equal to three","False","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Oncology",1750,"Combination","N","N","Yes","No","No","No","Yes","1-3","1-2"
"2202","NCT02399228","Phase 2",1.94591014905531,"Less than or equal to three","False","NME","Other","Single Group Assignment","Not Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0.693147180559945,"U.S.A. only","Drug","Autoimmune/immunology",594,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2203","NCT02399137","Phase 2",4.47733681447821,"Less than or equal to three","True","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",1.79175946922805,"Industry",0,"Both","Drug","Oncology",1188,"Combination","N","N","Yes","No","No","No","No","1-3","1-2"
"2204","NCT02398435","Phase 2",3.13549421592915,"Less than or equal to three","True","Biologic","Other","Parallel Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",1.09861228866811,"Industry",0,"International only","Biological","Autoimmune/immunology",519,"Monotherapy","N","N","No","Yes","No","No","No","1-3","1-2"
"2205","NCT02398188","Phase 3",6.67582322163485,"Less than or equal to three","False","Non-NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",0,"Industry",0.693147180559945,"U.S.A. only","Drug","Dermatology",203,"Monotherapy","Y","N","No","No","No","No","No","1-3","1-2"
"2206","NCT02397694","Phase 2",4.58496747867057,"Less than or equal to three","True","NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Infectious Disease",1437,"Combination","N","N","Yes","No","No","No","No","1-3","1-2"
"2207","NCT02397473","Phase 3",4.69134788222914,"Less than or equal to three","True","Biologic","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","0","0","0",2.484906649788,"Industry",0,"Both","Drug","Neurology",1109,"Monotherapy","Y","N","No","Yes","No","No","Yes","1-3","1-2"
"2208","NCT02397460","Phase 2",3.91202300542815,"Less than or equal to three","False","NME","Randomized","Crossover Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",0,"Industry",0,"International only","Drug","Respiratory",383,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2209","NCT02397213","Phase 2",5.04342511691925,"Less than or equal to three","True","Non-NME","Randomized","Parallel Assignment","Not Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","1","0",0,"Other",0.693147180559945,"International only","Drug","Cardiovascular",519,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2210","NCT02396953","Phase 2",3.3322045101752,"Less than or equal to three","True","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",2.56494935746154,"Industry",0,"International only","Drug","Endocrine",973,"Monotherapy","N","N","Yes","No","No","No","No","1-3","1-2"
"2211","NCT02396511","Phase 2",0.693147180559945,"Less than or equal to three","False","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"U.S.A. only","Biological","Oncology",1065,"Combination","N","N","No","No","No","No","No","1-3","1-2"
